,시군구,약국명칭,주소,전화번호
0,강남구,드림약국,서울특별시 강남구 논현동 34번지 21호 지하1층 일부,548-3856
1,강남구,새휘정약국,서울특별시 강남구 청담동 134번지 20호 삼익상가 102호,542-1910
2,강남구,굿케어약국,서울특별시 강남구 논현동 111번지 20호 1층 일부,543-8204
3,강남구,메디피아약국,서울특별시 강남구 도곡동 953번지 3호 1층,3463-1547
4,강남구,논현연세약국,서울특별시 강남구 논현동 169번지 1층 일부,3446-2273
5,강남구,강남조은약국,서울특별시 강남구 도곡동 914번지 2호 호림빌딩 102호,571-9515
6,강남구,하늘온누리약국,서울특별시 강남구 삼성동 107번지 5층 일부,3443-3359
7,강남구,수진약국,서울특별시 강남구 대치동 511번지 한보미도종합상가 119호,554-4691
8,강남구,새생명약국,서울특별시 강남구 청담동 50번지 2호,512-3389
9,강남구,수서약국,서울특별시 강남구 수서동 723번지 도시개발(아)6단지상가 109호,459-2293
10,강남구,강남세계로약국,서울특별시 강남구 개포동 1228번지 6호 남현빌딩 1층,5722720
11,강남구,유니팜약국,서울특별시 강남구 청담동 87번지 8호,546-8707
12,강남구,비타민약국,서울특별시 강남구 신사동 584번지 외 1필지 3층일부,2668-1805
13,강남구,파낙스약국,서울특별시 강남구 논현1동 175번지 13호,518-8766
14,강남구,샘터약국,서울특별시 강남구 일원본동 718번지 샘터마을 현대아파트상가 101호,2226-0920
15,강남구,동아약국,서울특별시 강남구 역삼동 837번지 13호 107호,539-7030
16,강남구,로데오약국,서울특별시 강남구 신사동 665번지 1호 외1필지 한양타운빌딩 1층,540-4091
17,강남구,사랑의약국,서울특별시 강남구 수서동 713번지 수서현대벤쳐빌 219호,2040-7933
18,강남구,해맑은약국,서울특별시 강남구 도곡1동 924번지 5호,571-0029
19,강남구,청담제일약국,서울특별시 강남구 청담동 132번지 풍양빌딩 101호,511-2600
20,강남구,삼성약국,서울특별시 강남구 수서동 746번지 까치마을상가 101호,451-7281
21,강남구,동명온누리약국,서울특별시 강남구 대치동 922번지 23호,555-1950
22,강남구,은약국,서울특별시 강남구 삼성동 120번지 18호,557-7676
23,강남구,미소약국,서울특별시 강남구 대치2동 944번지 삼흥제2빌딩 5층,070-4127-1351
24,강남구,웰팜약국,서울특별시 강남구 논현2동 241번지 3호 SK허브블루 407-2호,3014-9600
25,강남구,연세팜약국,서울특별시 강남구 논현동 144번지 20호 101호,02-518-2338
26,강남구,생명샘약국,서울특별시 강남구 청담동 46번지 19호 1층,3444-6609
27,강남구,다솜약국,서울특별시 강남구 역삼2동 788번지 10호 원경빌딩 1층,567-9691
28,강남구,유한약국,서울특별시 강남구 논현동 159번지 23호,547-1696
29,강남구,이도건강약국,서울특별시 강남구 삼성1동 154번지 11호 엠타워1층,564-3333
30,강남구,렉슬약국,서울특별시 강남구 도곡동 527번지 3호 도곡렉슬상가 B103호,576-6441
31,강남구,역삼약국,서울특별시 강남구 역삼동 834번지 101호,555-3877
32,강남구,동보옵티마약국,서울특별시 강남구 도곡동 550번지 2호 1층,566-4428
33,강남구,메디칼청실약국,서울특별시 강남구 대치동 626번지 청실상가동 112113호,568-3597
34,강남구,세명약국,서울특별시 강남구 청담동 43번지 9호 원일빌딩 4층 403호,540-0054
35,강남구,동의온누리약국,서울특별시 강남구 역삼동 776번지 20호 1층,501-4397
36,강남구,신삼성약국,서울특별시 강남구 삼성2동 49번지 10호,545-2467
37,강남구,강남웰약국,서울특별시 강남구 역삼동 815번지 점프밀라노 지하1층 101호,02-6440-5656
38,강남구,개포종로온누리약국,서울특별시 강남구 개포동 168번지 8호 1층,575-2485
39,강남구,청담메디웰약국,서울특별시 강남구 청담동 48번지 7호 로데오프라자  105호,540-4324
40,강남구,도곡우리약국,서울특별시 강남구 도곡동 527번지 3호 214호,529-8588
41,강남구,갤러리아온누리약국,서울특별시 강남구 신사동 664번지 7호 107호,517-0129
42,강남구,혜린약국,서울특별시 강남구 신사동 586번지 5호 강석빌딩 1층,546-1253
43,강남구,웰그린약국,서울특별시 강남구 역삼동 765번지 7호 1층 103호,02-501-1600
44,강남구,루비약국,서울특별시 강남구 신사동 585번지 15호 1층 101호,02-542-1215
45,강남구,논현사랑약국,서울특별시 강남구 논현동 116번지 7호 1층 일부,549-1820
46,강남구,메디팜압구정약국,서울특별시 강남구 신사동 597번지 4호 명진빌딩 1층 101호,547-7585
47,강남구,다온약국,서울특별시 강남구 역삼동 708번지 동우빌딩 401호,568-5268
48,강남구,희망약국,서울특별시 강남구 일원동 715번지 1호 111호,2226-2256
49,강남구,삼성하나약국,서울특별시 강남구 삼성동 158번지 16호 1층 일부,569-4130
50,강남구,목화약국,서울특별시 강남구 일원동 644번지 3호 1층,2226-2268
51,강남구,우리온누리약국,서울특별시 강남구 대치동 629번지 1호 1 층 1호,557-5888
52,강남구,더블유수약국,서울특별시 강남구 신사동 639번지 1호 1층,512-2165
53,강남구,강남정성약국,서울특별시 강남구 논현동 211번지 15호 1층,0234469720
54,강남구,참좋은선약국,서울특별시 강남구 역삼동 642번지 6호 성지하이츠3차 지하1층7호,3453-3501
55,강남구,신사수약국,서울특별시 강남구 신사동 576번지 7호 1층 일부,542-8032
56,강남구,수서역정민아약국,서울특별시 강남구 수서동 725번지 수서타워 1층 101호,3412-7655
57,강남구,동호약국,서울특별시 강남구 대치동 997번지 11호 1층 1호,567-3935
58,강남구,소망약국,서울특별시 강남구 삼성동 158번지 12호 서영빌딩 1층,555-6806
59,강남구,퍼스트약국,서울특별시 강남구 대치1동 507번지 2호 대치퍼스트상가 304-1호,565-3501
60,강남구,삼성일신약국,서울특별시 강남구 삼성동 142번지 46호 1층 일부,538-1018
61,강남구,강남미약국,서울특별시 강남구 역삼동 825번지 8호 1층 1호,00-0000-0000
62,강남구,라온약국,서울특별시 강남구 역삼동 837번지 1층,2193-9100
63,강남구,일번지약국,서울특별시 강남구 역삼동 824번지 11호 1층 106호,02-567-2501
64,강남구,기쁨주는약국,서울특별시 강남구 수서동 715번지 수서빌딩 2층 일부,6181-3933
65,강남구,서울약국,서울특별시 강남구 세곡동 124번지 2호 12호,2226-4343
66,강남구,현온누리약국,서울특별시 강남구 논현동 50번지 삼익전자빌딩 지하1층 2호,3446-7012
67,강남구,포인트약국,서울특별시 강남구 논현동 3번지 1호 논현빌딩 1층 일부,547-3196
68,강남구,강남굿모닝약국,서울특별시 강남구 도곡동 957번지 11호 극동스타클래스상가 208호,529-4155
69,강남구,삼성정문약국,서울특별시 강남구 일원동 715번지 1호 신영프라자 109호,3412-4416
70,강남구,자곡온누리약국,서울특별시 강남구 자곡동 636번지 109호,2226-9661
71,강남구,엠플러스약국,서울특별시 강남구 역삼동 825번지 9호 준빌딩 지하1층,02-558-9799
72,강남구,올리브약국,서울특별시 강남구 논현동 241번지 7호 상경빌딩 지하1층,025119262
73,강남구,약사랑약국,서울특별시 강남구 역삼동 705번지 30호 1층,02-2039-9112
74,강남구,강남리더스약국,서울특별시 강남구 세곡동 581번지 1층 105호,3414-8001
75,강남구,생생온누리약국,서울특별시 강남구 신사동 599번지 1층,02-545-3380
76,강남구,맑은하늘약국,서울특별시 강남구 개포동 655번지 4호 개포동 메디시스빌딩 1층 101호,025760415
77,강남구,성모약국,서울특별시 강남구 개포동 185번지 개포주공6단지상가 101호,3412-1336
78,강남구,유진약국,서울특별시 강남구 역삼동 773번지 8호,562-3923
79,강남구,봄약국,서울특별시 강남구 압구정동 454번지 신사시장 A동 109호,543-2251
80,강남구,서이약국,서울특별시 강남구 도곡동 467번지 14호 외 2필지 지하1층,2057-4555
81,강남구,인선약국,서울특별시 강남구 논현2동 94번지 20호 1층,542-1954
82,강남구,신사약국,서울특별시 강남구 신사동 513번지 1호 1층 101호,514-3704
83,강남구,유정약국,서울특별시 강남구 대치1동 1019번지 15호 아주빌딩 106호,568-7347
84,강남구,캠브리지5층약국,서울특별시 강남구 역삼동 825번지 18호 5층 일부,552-9319
85,강남구,메트로약국,서울특별시 강남구 도곡동 467번지 6호 대림아크로빌 B동 102호,529-2304
86,강남구,수라인 한약국,서울특별시 강남구 삼성1동 103번지 22호 래미안삼성1차APT상가 101-2호,514-3118
87,강남구,정온누리약국,서울특별시 강남구 대치동 938번지 22호 104호,501-9112
88,강남구,삼주약국,서울특별시 강남구 역삼동 823번지 B-101호,565-2734
89,강남구,역삼다인약국,서울특별시 강남구 역삼1동 641번지 6호 바노바기빌딩 1층,3453-3589
90,강남구,한티약국,서울특별시 강남구 도곡동 527번지 3호 지하1층 133호,574-2575
91,강남구,행복온누리약국,서울특별시 강남구 개포동 1258번지 5호 반석빌딩 1층 일부,574-8376
92,강남구,태양약국,서울특별시 강남구 신사동 574번지 3호 110호,3442-4492
93,강남구,아이약국,서울특별시 강남구 청담동 76번지 1호 지하1층,548-7028
94,강남구,다나약국,서울특별시 강남구 개포4동 1229번지 1호 노엘빌딩 3층,571-0043
95,강남구,한사랑약국,서울특별시 강남구 역삼1동 705번지 25호 아펙스타워 1층,567-7850
96,강남구,정성온누리약국,서울특별시 강남구 도곡1동 942-2 (1층),554-6979
97,강남구,명심약국,서울특별시 강남구 개포4동 1239번지 20호,575-5867
